Systematic ID	Length (nt)	Gene name	Strand	Start	End	Gene synonym	LT2 orthologue	14028 orthologue	ST4-74 orthologue	UK-1 orthologue	D23580 orthologue	EMBL product	Genbank product	Genbank note	PubMed ID
SL0024	1008	bcfD	+	28425	29432		STM0024	STM14_0031	STM474_0025	STMUK_0024	STMMW_00231	fimbrial subunit			
SL0025	546	bcfE	+	29433	29978		STM0025	STM14_0032	STM474_0026	STMUK_0025	STMMW_00241	fimbrial subunit			
SL0026	519	bcfF	+	29994	30512		STM0026	STM14_0033	STM474_0027	STMUK_0026	STMMW_00251	fimbrial subunit			
SL0027	705	bcfG	+	30505	31209		STM0027	STM14_0034	STM474_0028	STMUK_0027	STMMW_00261	fimbrial chaperone			
SL0028	846	bcfH	+	31274	32119		STM0028	STM14_0035	STM474_0029	STMUK_0028	STMMW_00271	hypothetical exported protein			
SL0029	330		+	32116	32445		-	STM14_0036	STM474_0030	STMUK_0029	STMMW_00281	hypothetical membrane protein			
SL0030	450		-	32545	32994		STM0029	STM14_0037	STM474_0031	STMUK_0030	STMMW_00291	hypothetical membrane protein	transcriptional regulator		
SL0031	1005		+	33364	34368		STM0030	STM14_0038	STM474_0033	STMUK_0031	STMMW_00301	hypothetical transcriptional regulator (lysR family)		similar to LeuO (gi|6650098); LysR family	
SL0032	441		-	34376	34816		STM0031	STM14_0039	STM474_0034	STMUK_0032	STMMW_00311	hypothetical membrane protein	transcriptional regulator		
SL0033	1719		+	35339	37057		STM0032	STM14_0041	STM474_0035	STMUK_0033	STMMW_00331	possible sulfatase			
SL0034	1572		-	37103	38674		STM0033	STM14_0042	STM474_0036	STMUK_0034	STMMW_00341	hypothetical secreted 5'-nucleotidase			
SL0035	762		-	38773	39534		STM0034	STM14_0043	STM474_0037	STMUK_0035	STMMW_00351	hypothetical exported protein	outer membrane/exported protein	similar to E. coli sugar hydrolase (AAC75461.1)	
SL0036	1494		+	40131	41624		STM0035	STM14_0044	STM474_0038	STMUK_0036	STMMW_00361	hypothetical secreted sulfatase		similar to E. coli sulfatase (AAC76701.1)	
SL0037	1191		+	41723	42913		STM0036	STM14_0045	STM474_0039	STMUK_0037	STMMW_00371	possible sulfatase regulatory protein		similar to E. coli arylsulfatase regulator (AAC76803.1)	
SL0038	1254		+	42932	44185		STM0037	STM14_0046	STM474_0040	STMUK_0038	STMMW_00381	conserved hypothetical protein			
SL0039	1716		+	44312	46027		STM0038	STM14_0047	STM474_0041	STMUK_0039	STMMW_00391	possible sulfatase			
SL0040	1167	nhaA	+	46190	47356		STM0039	STM14_0048	STM474_0042	STMUK_0040	STMMW_00401	Na(+)/H(+) antiporter 1	pH-dependent sodium/proton antiporter	exports sodium by using the electrochemical proton gradient to allow protons into the cell; functions in adaptation to high salinity and alkaline pH; activity increases at higher pH; downregulated at acidic pH	
SL0041	900	nhaR	+	47418	48317		STM0040	STM14_0049	STM474_0043	STMUK_0041	STMMW_00411	transcriptional activator protein NhaR	transcriptional activator NhaR	Na+/H+ antiporter regulatory protein; activates the genes nhaA and osmC	
SL0042	2040		-	48372	50411		STM0041	STM14_0050	STM474_0044	STMUK_0042	STMMW_00421	hypothetical glycosyl hydrolase			
SL0043	1374		-	50451	51824		STM0042	STM14_0051	STM474_0045	STMUK_0043	STMMW_00431	hypothetical transport protein		similar to E. coli permease (AAC76681.1)	
SL0044	264	rpsT	-	52280	52543		STM0043	STM14_0052	STM474_0046	STMUK_0044	STMMW_00441	30S ribosomal protein S20		binds directly to the 16S rRNA and is involved in post-translational inhibition of arginine and ornithine decarboxylase	
SL0045	216	yaaY	+	52649	52864		STM0044	STM14_0053	STM474_0047	STMUK_0045	STMMW_00451	conserved hypothetical protein			
SL0046	939	ribF	+	52872	53810		STM0045	STM14_0054	STM474_0048	STMUK_0046	STMMW_00461	riboflavin biosynthesis protein RibF	bifunctional riboflavin kinase/FMN adenylyltransferase	catalyzes the formation of FMN from riboflavin and the formation of FAD from FMN; in Bacillus the ribC gene has both flavokinase and FAD synthetase activities	
SL0047	2835	ileS	+	53855	56689		STM0046	STM14_0055	STM474_0049	STMUK_0047	STMMW_00471	isoleucyl-tRNA synthetase		"IleRS; catalyzes the formation of isoleucyl-tRNA(Ile) from isoleucine and tRNA(Ile); since isoleucine and other amino acids such as valine are similar, there are additional editing function in this enzyme; one is involved in hydrolysis of activated valine-AMP and the other is involved in deacylation of mischarged Val-tRNA(Ile); there are two active sites, one for aminoacylation and one for editing; class-I aminoacyl-tRNA synthetase family type 1 subfamily; some organisms carry two different copies of this enzyme"	
SL0048	501	lspA	+	56689	57189		STM0047	STM14_0056	STM474_0050	STMUK_0048	STMMW_00481	lipoprotein signal peptidase		lipoprotein signal peptidase; integral membrane protein that removes signal peptides from prolipoproteins during lipoprotein biosynthesis	
SL0049	450	fkpB	+	57344	57793	slpA	STM0048	STM14_0058	STM474_0051	STMUK_0049	STMMW_00491	probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase		similar to E. coli FKBX-type 16KD peptidyl-prolyl cis-trans isomerase; rotamase (AAC73139.1)	
SL0050	951	ispH	+	57796	58746	lytB	STM0049	STM14_0059	STM474_0052	STMUK_0050	STMMW_00501	LytB protein	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP); functions in the nonmevalonate isoprenoid biosynthesis pathway	
SL0051	1203		+	58946	60148		STM0050	STM14_0060	STM474_0053	STMUK_0051	STMMW_00511	conserved hypothetical protein			
SL0052	921	rihC	+	60164	61084	yaaF	STM0051	STM14_0061	STM474_0054	STMUK_0052	STMMW_00521	hypothetical nucleoside hydrolase (IUNH family)	ribonucleoside hydrolase RihC	catalyzes the hydrolysis of both purine and pyrimidine ribonucleosides	
SL0053	687	citB2	-	61106	61792	dpiA2	STM0052	STM14_0062	STM474_0055	STMUK_0053	STMMW_00531	transcriptional regulatory protein		similar to E. coli sequence similarity to Shigella regulator (AAC73721.1); sensor for citrate	
SL0054	1620	citA2	-	61794	63413	dpiB2	STM0053	STM14_0063	STM474_0056	STMUK_0054	STMMW_00541	two-component sensor kinase	transcriptional regulator	similar to E. coli sensor-type protein (AAC73720.1); histidine kinase for citrate	
SL0055	1302		-	63548	64849		STM0054	STM14_0064	STM474_0057	STMUK_0055	STMMW_00551	oxaloacetate decarboxylase beta chain (ec 4.1.1.3)	oxalacetate decarboxylase subunit beta	oxaloacetate decarboxylase beta chain (SW:DCOB_SALTY)	
SL0056	1776		-	64862	66637		STM0055	STM14_0065	STM474_0058	STMUK_0056	STMMW_00561	oxaloacetate decarboxylase alpha chain		catalyzes the formation of pyruvate from oxaloacetate	
SL0057	240	oadG	-	66654	66893		STM0056	STM14_0066	STM474_0059	STMUK_0057	STMMW_00571	oxaloacetate decarboxylase gamma chain	oxaloacetate decarboxylase subunit gamma	catalyzes the decarboxylation of oxaloacetate to form pyruvate and carbon dioxide	
SL0058	1341		-	67052	68392		STM0057	STM14_0067	STM474_0060	STMUK_0058	STMMW_00581	citrate-sodium symporter			
SL0059	1047	citC2	+	68637	69683		STM0058	STM14_0069	STM474_0061	STMUK_0059	STMMW_00591	[citrate (PRO-3S)-lyase] ligase		similar to E. coli citrate lyase synthetase; citrate (pro-3S)-lyase ligase (AAC73719.1)	
SL0060	294	citD2	+	69713	70006		STM0059	STM14_0070	STM474_0062	STMUK_0060	STMMW_00601	citrate lyase acyl carrier protein	citrate lyase subunit gamma	acyl carrier protein; with CitE and CitF catalyzes the formation of oxaloacetate from citrate	
SL0061	870	citE2	+	70003	70872		STM0060	STM14_0071	STM474_0063	STMUK_0061	STMMW_00611	citrate lyase beta chain	citrate lyase subunit beta	similar to E. coli citrate lyase beta chain; acyl lyase subunit (AAC73717.1)	
SL0062	1521	citF2	+	70883	72403		STM0061	STM14_0072	STM474_0064	STMUK_0062	STMMW_00621	citrate lyase alpha chain	citrate lyase alpha chain/citrate-ACP transferase		
SL0063	552	citX2	+	72403	72954		STM0062	STM14_0073	STM474_0065	STMUK_0063	STMMW_00631	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	hypothetical protein		
SL0064	894	citG2	+	72947	73840		STM0063	STM14_0074	STM474_0066	STMUK_0064	STMMW_00641	triphosphoribosyl-dephospho-CoA synthase		modifier of citrate lyase protein	
SL0065	822	dapB	+	74020	74841		STM0064	STM14_0075	STM474_0067	STMUK_0065	STMMW_00651	dihydrodipicolinate reductase		"catalyzes the reduction of 2,3-dihydrodipicolinate to 2,3,4,5-tetrahydrodipicolinate in lysine and diaminopimelate biosynthesis"	
SL0066A	348		+	75091	75438		STM0065	-	-	-		hypothetical viral protein (pseudogene)			
SL0067	1149	carA	+	75883	77031		STM0066	STM14_0077	STM474_0069	STMUK_0067	STMMW_00681	carbamoyl-phosphate synthase small chain	carbamoyl phosphate synthase small subunit	catalyzes production of carbamoyl phosphate from bicarbonate and glutamine in pyrimidine and arginine biosynthesis pathways; forms an octamer composed of four CarAB dimers	
SL0068	3228	carB	+	77050	80277		STM0067	STM14_0078	STM474_0070	STMUK_0068	STMMW_00691	carbamoyl-phosphate synthase large chain	carbamoyl phosphate synthase large subunit	four CarB-CarA dimers form the carbamoyl phosphate synthetase holoenzyme that catalyzes the production of carbamoyl phosphate; CarB is responsible for the amidotransferase activity	
SL0069	396	caiF	+	80551	80946		STM0068	STM14_0081	STM474_0071	STMUK_0069	STMMW_00701	transcriptional activator CaiF	DNA-binding transcriptional activator CaiF	regulator of carnitine metabolism; induces the caiTABCDE and fixABCX operons	
SL0070	597	caiE	-	81023	81619		STM0069	STM14_0082	STM474_0072	STMUK_0070	STMMW_00711	carnitine operon protein CaiE		involved in the synthesis of a cofactor required for carnitine dehydratase and carnitine racemase activities	
SL0071	786	caiD	-	81728	82513		STM0070	STM14_0083	STM474_0073	STMUK_0071	STMMW_00721	carnitine racemase	carnitinyl-CoA dehydratase	catalyzes the dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA	
SL0072	1554	caiC	-	82567	84120		STM0071	STM14_0084	STM474_0074	STMUK_0072	STMMW_00731	probable crotonobetaine/carnitine-CoA ligase			
SL0073	1272	caiB	-	84183	85454		STM0072	STM14_0085	-	STMUK_0073	STMMW_00741	L-carnitine dehydratase	crotonobetainyl-CoA:carnitine CoA-transferase	"catalyzes formation of L-carnitinyl-CoA by transfering the CoA moiety from gamma-butyrobetainyl-CoA, also catalyzes the formation of crotonobetainyl-CoA by transfer of CoA from gamma-butyrobetainyl-CoA or L-carnitinyl-CoA to crotonobetaine"	
SL0074	1143	caiA	-	85512	86654		STM0073	STM14_0087	STM474_0076	STMUK_0074	STMMW_00751	probable carnitine operon oxidoreductase CaiA	crotonobetainyl-CoA dehydrogenase	catalyzes the reduction of crotonobetainyl-CoA to gamma-butyrobetainyl-CoA	
SL0075	1518	caiT	-	86689	88206		STM0074	STM14_0088	STM474_0077	STMUK_0075	STMMW_00761	probable carnitine transporter	L-carnitine/gamma-butyrobetaine antiporter	catalyzes the exchange of L-carnitine for gamma-butyrobetaine in carnitine metabolism	
SL0076	771	fixA	+	88687	89457		STM0075	STM14_0090	STM474_0079	STMUK_0076	STMMW_00771	probable flavoprotein subunit	electron transfer flavoprotein FixA	"required for anaerobic carnitine reduction, may act to transfer electrons to crotonobetaine reductase"	
SL0077	942	fixB	+	89473	90414		STM0076	STM14_0091	STM474_0080	STMUK_0077	STMMW_00781	probable flavoprotein subunit	electron transfer flavoprotein FixB	involved in electron transfer during carnitine metabolism	
SL0078	1287	fixC	+	90464	91750		STM0077	STM14_0092	STM474_0081	STMUK_0078	STMMW_00791	probable flavoprotein subunit	oxidoreductase FixC	FAD/NAD(P)-binding domain; possibly part of an electron transfer system required for anaerobic carnitine reduction	
SL0079	288	fixX	+	91747	92034		STM0078	STM14_0093	STM474_0082	STMUK_0079	STMMW_00801	ferredoxin like protein FixX		similar to E. coli ferredoxin (AAC73155.1); carnitine metabolism	
SL0080	1341	yaaU	+	92181	93521		STM0079	STM14_0094	STM474_0084	STMUK_0080	STMMW_00811	hypothetical metabolite transport protein	transporter	similar to E. coli transport protein (AAC73156.1); MFS family	
SL0081	231		+	93610	93840		STM0080	STM14_0095	STM474_0085	STMUK_0081	STMMW_00821	hypothetical lipoprotein			
SL0082	417		+	94134	94550		STM0081	STM14_0096	STM474_0086	STMUK_0082	STMMW_00841	probable secreted protein	hypothetical protein		
SL0083	291		-	94774	95064		STM0082	STM14_0098	STM474_0087	STMUK_0083	STMMW_00851	probable secreted protein	hypothetical protein		
SL0083A	93		-	95134	95226		-	-	-	-	STMMW_00861	hypothetical membrane protein (pseudogene)			
SL0084	1890		+	95962	97851		STM0084	STM14_0100	STM474_0088	STMUK_0085	STMMW_00881	hypothetical sulfatase		similar to E. coli sulfatase (AAC76701.1)	
SL0085	66		-	98056	98121		-	-	-	-	STMMW_00891	hypothetical carnitinyl-CoA dehydratase (pseudogene)			
SL0086	531	yabF	+	98258	98788		STM0085	STM14_0103	STM474_0089	STMUK_0086	STMMW_00901	hypothetical NAD(P)H oxidoreductase	glutathione-regulated potassium-efflux system ancillary protein KefF	"Required for full activity of KefC, a potassium-proton antiporter"	
SL0087	1863	kefC	+	98781	100643		STM0086	STM14_0104	STM474_0090	STMUK_0087	STMMW_00911	glutathione-regulated potassium-efflux system protein KefC		transport system that facilitates potassium-efflux	
SL0088	480	folA	+	100842	101321		STM0087	STM14_0106	STM474_0091	STMUK_0088	STMMW_00921	dihydrofolate reductase type I		catalyzes the reduction of dihydrofolate to tetrahydrofolate	
SL0089	849	apaH	-	101427	102275		STM0088	STM14_0107	STM474_0092	STMUK_0089	STMMW_00931	bis(5'-nucleosyl)-tetraphosphatase		"hydrolyzes P(1),P(4)-bis(5'-adenosyl) tetraphosphate to form 2 ADP"	
SL0090	378	apaG	-	102286	102663		STM0089	STM14_0108	STM474_0093	STMUK_0090	STMMW_00941	CorD protein	ApaG protein	protein associated with Co2+ and Mg2+ efflux	
SL0091	822	ksgA	-	102666	103487		STM0090	STM14_0109	STM474_0094	STMUK_0091	STMMW_00951	dimethyladenosine transferase		catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rRNA; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin	
SL0092	990	pdxAa	-	103484	104473		STM0091	STM14_0110	STM474_0095	STMUK_0092	STMMW_00961	pyridoxal phosphate biosynthetic protein PdxA	4-hydroxythreonine-4-phosphate dehydrogenase	catalyzes oxidation of 4-(phosphohydroxy)-L-threonine into 2-amino-3-oxo-4-(phosphohydroxy)butyric acid which decarboxylates to form 1-amino-3-(phosphohydroxy)propan-2-one (3-amino-2-oxopropyl phosphate)	
SL0093	1287	surA	-	104473	105759		STM0092	STM14_0111	STM474_0096	STMUK_0093	STMMW_00971	survival protein SurA precursor	peptidyl-prolyl cis-trans isomerase SurA	"Chaperone involved in the folding of extracytoplasmic proteins, especially OmpA, OmpF and LamB"	
SL0094	2361	imp	-	105813	108173		STM0093	STM14_0112	STM474_0097	STMUK_0094	STMMW_00981	organic solvent tolerance protein precursor		determines N-hexane tolerance and is involved in outer membrane permeability	
SL0095	813	djlA	+	108427	109239		STM0094	STM14_0114	STM474_0098	STMUK_0095	STMMW_00991	DnaJ-like protein	Dna-J like membrane chaperone protein	functions as a co-chaperone with DnaK; involved in regulation of colanic acid capsule; inner membrane protein; dimerized via transmembrane domain; J-like domain is cytoplasmic and can functionally substitute for DnaJ; stimulates synthesis of colanic acid mucoid capsule through the RcsB/C signal transduction system	
SL0096	660	rluA	-	109334	109993		STM0095	STM14_0115	STM474_0099	STMUK_0096	STMMW_01001	ribosomal large subunit pseudouridine synthase A	23S rRNA/tRNA pseudouridine synthase A	catalyzes the synthesis of pseudouridine from uracil-746 in 23S ribosomal RNA and from uracil-32 in the anticodon stem and loop of transfer RNAs	
SL0097	2907	hepA	-	110005	112911		STM0096	STM14_0116	STM474_0100	STMUK_0097	STMMW_01011	probable ATP-dependent helicase HepA		"transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA"	
SL0098	2352	polB	-	113085	115436		STM0097	STM14_0117	STM474_0101	STMUK_0098	STMMW_01021	DNA polymerase II		"Has polymerase, DNA-binding and 3'-5' exonuclease activities. In Aeropyrum pernix this protein is sensitive to aphidicolin and stable at 95#C"	
SL0099	621		-	115480	116100		STM0098	STM14_0118	STM474_0102	STMUK_0099	STMMW_01031	probable secreted protein	hypothetical protein		
SL0099A	60		-	116195	116254		-	-	-	-	STMMW_01041	hypothetical inner membrane protein (pseudogene)			
SL0100	420		+	116819	117238		STM0100	STM14_0119	STM474_0103	STMUK_0101	STMMW_01061	hypothetical protein			
SL0101	696	araD	-	117244	117939		STM0101	STM14_0120	STM474_0104	STMUK_0102	STMMW_01071	L-ribulose-5-phosphate 4-epimerase		catalyzes the isomerization of L-ribulose 5-phosphate to D-xylulose 5-phosphate in the anaerobic catabolism of L-ascorbate; links the arabinose metabolic pathway to the pentose phosphate pathway and allows the bacteria to use arabinose as an energy source	
SL0102	1503	araA	-	118080	119582		STM0102	STM14_0121	STM474_0105	STMUK_0103	STMMW_01081	L-arabinose isomerase		catalyzes the formation of L-ribulose from L-arabinose in L-arabinose catabolism	
SL0103	1710	araB	-	119593	121302		STM0103	STM14_0122	STM474_0106	STMUK_0104	STMMW_01091	Ribulokinase		catalyzes the phosphorylation of ribulose to ribulose 5-phosphate	
SL0104	846	araC	+	121643	122488		STM0104	STM14_0123	STM474_0107	STMUK_0105	STMMW_01101	arabinose operon regulatory protein	DNA-binding transcriptional regulator AraC	positive and negative regulator; regulates the araBAD and araFGH operons and other genes involved in the transport and catabolism of L-arabinose	
SL0105	768	yabI	+	122607	123374		STM0105	STM14_0124	STM474_0108	STMUK_0106	STMMW_01111	DedA family integral membrane protein	hypothetical protein	DedA family	
SL0106	708	thiQ	-	123413	124120	yabJ	STM0106	STM14_0125	STM474_0109	STMUK_0107	STMMW_01121	hypothetical ABC transporter	thiamine transporter ATP-binding subunit	with TbpA and ThiP is part of the thiamine and TPP transport system	
SL0107	1611	thiP	-	124104	125714	yabK	STM0107	STM14_0126	STM474_0110	STMUK_0108	STMMW_01131	hypothetical ABC transporter integral membrane protein	thiamine transporter membrane protein	permease; with TbpA and ThiQ functions in transport of thiamine and thiamine pyrophosphate into the cell; repressed in presence of exogenous thiamine	
SL0108	984	tbpA	-	125690	126673		STM0108	STM14_0127	STM474_0111	STMUK_0109	STMMW_01141	thiamine-binding periplasmic protein precursor	thiamine transporter substrate binding subunit	part of the thiamine and TPP transport system tbpA-thiPQ	
SL0109	1659	yabN	-	126851	128509		STM0109	STM14_0129	STM474_0113	STMUK_0110	STMMW_01151	hypothetical ABC transporter periplasmic solute binding protein	transcriptional regulator SgrR	activates sgrS under glucose-phosphate stress conditions	
SL0109A	123	sgrT	+	128602	128724							conserved sORF			
SL0110	606	leuD	-	129060	129665		STM0110	STM14_0131	STM474_0116	STMUK_0112	STMMW_01161	3-isopropylmalate dehydratase small subunit	isopropylmalate isomerase small subunit	catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate in leucine biosynthesis; forms a heterodimer of LeuC/D	
SL0111	1401	leuC	-	129676	131076		STM0111	STM14_0132	STM474_0117	STMUK_0113	STMMW_01171	3-isopropylmalate dehydratase large subunit	isopropylmalate isomerase large subunit	"dehydratase component, catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate"	
SL0112	1092	leuB	-	131079	132170		STM0112	STM14_0133	STM474_0118	STMUK_0114	STMMW_01181	3-isopropylmalate dehydrogenase		catalyzes the oxidation of 3-isopropylmalate to 3-carboxy-4-methyl-2-oxopentanoate in leucine biosynthesis	
SL0113	1572	leuA	-	132170	133741		STM0113	STM14_0134	STM474_0119	STMUK_0115	STMMW_01191	2-isopropylmalate synthase		catalyzes the formation of 2-isopropylmalate from acetyl-CoA and 2-oxoisovalerate in leucine biosynthesis	
SL0114	87	leuL	-	133829	133915		STM0114	STM14_0135	STM474_0120	STMUK_0116	STMMW_01201	leu operon leader peptide		involved in attenuation control of the leuABCD operon in leucine biosynthesis	
SL0115	945	leuO	+	134572	135516		STM0115	STM14_0138	STM474_0121	STMUK_0117	STMMW_01211	probable activator protein in leuABCD operon	leucine transcriptional activator	activator for leuABCD operon; member of LysR family of transcriptional activators	
SL0116	1662	ilvI	+	135901	137562		STM0116	STM14_0139	STM474_0122	STMUK_0118	STMMW_01221	acetolactate synthase isozyme III large subunit	acetolactate synthase 3 catalytic subunit	"catalyzes the formation of 2-acetolactate from pyruvate, leucine sensitive"	
SL0117	492	ilvH	+	137565	138056		STM0117	STM14_0140	STM474_0123	STMUK_0119	STMMW_01231	acetolactate synthase isozyme III small subunit	acetolactate synthase 3 regulatory subunit	"with IlvI catalyzes the formation of 2-acetolactate from pyruvate, the small subunit is required for full activity and valine sensitivity; E.coli produces 3 isoenzymes of acetolactate synthase which differ in specificity to substrates, valine sensitivity and affinity for cofactors; also known as acetolactate synthase 3 small subunit"	
SL0118	1005	fruR	+	138340	139344		STM0118	STM14_0142	STM474_0124	STMUK_0120	STMMW_01241	fructose repressor	DNA-binding transcriptional regulator FruR	binds D-fructose as an inducer; involved in regulation of operons for central pathways of carbon metabolism	
SL0119	459	mraZ	+	139950	140408	yabB	STM0119	STM14_0145	STM474_0125	STMUK_0121	STMMW_01251	conserved hypothetical protein.	cell division protein MraZ	MraZ; UPF0040; crystal structure shows similarity to AbrB	
SL0120	942	mraW	+	140410	141351	yabC	STM0120	STM14_0146	STM474_0126	STMUK_0122	STMMW_01261	S-adenosyl-methyltransferase	S-adenosyl-methyltransferase MraW	similar to E. coli apolipoprotein (AAC73193.1)	
SL0121	366	ftsL	+	141348	141713		STM0121	STM14_0147	STM474_0127	STMUK_0123	STMMW_01271	cell division protein FtsL		membrane bound cell division protein at septum containing leucine zipper motif	
SL0122	1767	ftsI	+	141729	143495		STM0122	STM14_0148	STM474_0128	STMUK_0124	STMMW_01281	penicillin-binding protein 3 precursor			
SL0123	1488	murE	+	143482	144969		STM0123	STM14_0149	STM474_0129	STMUK_0125	STMMW_01291	"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-di a minopimelate ligase"	"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase"	involved in cell wall formation; peptidoglycan synthesis; cytoplasmic enzyme; catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-aceylmuramoyl-l-alanyl-d-glutamate	
SL0124	1359	murF	+	144966	146324		STM0124	STM14_0150	STM474_0130	STMUK_0126	STMMW_01301	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diam i nopimelate--D-alan alanyl ligase"	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	similar to E. coli D-alanine-D-alanine-adding enzyme (AAC73197.1)	
